station_id,nome,situacao,latitude,longitude,altitude_m,data_instalacao
B828,ACEGUA,Operante,-31.874722,-54.119722,271,16/09/2025
B843,AJURICABA,Operante,-28.220833,-53.673611,416,01/12/2025
A826,ALEGRETE,Operante,-29.709167,-55.525556,121,27/09/2006
B847,ALEGRETE (MARONNA),Pane,-29.821389,-55.887222,120,03/02/2026
A827,BAGE,Operante,-31.347778,-54.013333,226.19,03/01/2007
B827,BAGE - CENTRO,Operante,-31.305556,-54.013333,226.2,31/07/2025
B848,BARRA DO QUARAI,Pane,-30.111667,-57.336111,91,26/01/2026
A840,BENTO GONCALVES,Pane,-29.164444,-51.534167,639,30/11/2006
B856,BOM JESUS (INMET),Pane,-28.669444,-50.441944,1054,02/03/2026
B857,BOM JESUS - SANTO INACIO,Pane,-28.513889,-50.167778,1132,02/03/2026
A812,CACAPAVA DO SUL,Operante,-30.545278,-53.466944,420.82,21/06/2006
B822,CACHOEIRA DO SUL,Operante,-30.018333,-52.938889,73,16/09/2025
B808,CACHOEIRINHA,Operante,-29.951389,-51.124167,72,17/02/2025
A838,CAMAQUA,Operante,-30.808056,-51.834167,92.3,11/12/2006
A897,CAMBARA DO SUL,Pane,-29.049167,-50.149722,1017,23/11/2016
A884,CAMPO BOM,Operante,-29.674167,-51.064167,23.35,28/11/2013
A879,CANELA,Operante,-29.368889,-50.827222,830.93,22/08/2008
A811,CANGUCU,Operante,-31.403333,-52.700833,446.81,23/01/2007
B832,CAPAO DA CANOA,Operante,-29.685278,-49.993056,0,12/10/2025
A887,CAPAO DO LEAO (PELOTAS),Operante,-31.8025,-52.407222,13,17/07/2019
B842,CARAZINHO,Operante,-28.323333,-52.814444,581,30/11/2025
B858,CASCA,Operante,-28.563611,-51.969167,602,23/02/2026
B818,CAXIAS DO SUL - AEROPORTO,Pane,-29.196111,-51.186389,756,13/08/2025
B817,CAXIAS DO SUL - CRIUVA,Operante,-28.874167,-50.975556,857,31/07/2025
B812,CHARQUEADAS,Pane,-29.965556,-51.625556,23,30/04/2025
A853,CRUZ ALTA,Operante,-28.603333,-53.673611,426.69,30/05/2007
B833,CRUZ ALTA (CENTRO),Operante,-28.625833,-53.613611,475,12/10/2025
B852,DILERMANDO DE AGUIAR,Operante,-29.725556,-54.188056,143,03/02/2026
A881,DOM PEDRITO,Operante,-31.0025,-54.618056,150,22/04/2010
A893,ENCRUZILHADA DO SUL,Operante,-30.543056,-52.524722,427.75,14/03/2018
A828,ERECHIM,Operante,-27.657778,-52.305833,777.08,24/11/2006
B845,ESPERANCA DO SUL,Operante,-27.374167,-53.969167,409,11/12/2025
B854,FAXINAL DO SOTURNO,Operante,-29.5875,-53.4275,70,10/03/2026
A854,FREDERICO WESTPHALEN,Operante,-27.395556,-53.429444,489.42,13/12/2007
B834,GARRUCHOS,Pane,-28.196944,-55.629722,0,12/10/2025
B826,HERVAL,Operante,-32.012778,-53.403056,331,16/09/2025
A883,IBIRUBA,Operante,-28.653333,-53.111944,455.27,12/12/2012
B849,ITACURUBI,Pane,-28.699167,-55.380556,148,20/01/2026
B850,ITAQUI,Operante,-29.155556,-56.555556,71,27/01/2026
A836,JAGUARAO,Operante,-32.534722,-53.375833,31.48,08/01/2007
B835,JOIA,Operante,-28.650278,-54.112778,0,12/10/2025
A844,LAGOA VERMELHA,Operante,-28.2225,-51.512778,833.83,01/03/2007
B853,LAVRAS DO SUL,Operante,-30.788611,-53.894167,390,29/04/2026
B851,MACAMBARA,Operante,-29.155278,-56.178611,95,28/04/2026
B813,MINAS DO LEAO,Operante,-30.124444,-52.050833,54,31/07/2025
B814,MONTENEGRO,Operante,-29.758611,-51.436111,15,31/07/2025
B862,MOSTARDAS - BACUPARI,Operante,-30.506111,-50.42,20,08/03/2026
B859,MUCUM,Operante,-29.153611,-51.865278,197,23/02/2026
B846,NONOAI,Operante,-27.358611,-52.778056,546,16/12/2025
B836,PALMARES DO SUL,Operante,-30.249167,-50.509167,4,12/10/2025
A856,PALMEIRA DAS MISSOES,Operante,-27.920278,-53.318056,614.11,25/02/2008
B810,PARQUE ELDORADO,Operante,-30.096667,-51.673889,50,17/02/2025
A839,PASSO FUNDO,Operante,-28.226667,-52.403611,680.67,26/11/2006
B823,PINHEIRO MACHADO,Operante,-31.574722,-53.388333,419,16/09/2025
B825,PORTO ALEGRE - BELEM NOVO,Operante,-30.186111,-51.178333,3.3,30/04/2025
A801,PORTO ALEGRE - JARDIM BOTANICO,Operante,-30.053611,-51.174722,41.18,21/09/2000
B837,PORTO XAVIER,Operante,-27.902778,-55.167222,0,12/10/2025
A831,QUARAI,Operante,-30.368611,-56.437222,103,16/10/2007
B860,RELVADO,Operante,-29.104444,-52.052778,301,23/02/2026
A802,RIO GRANDE,Operante,-32.078889,-52.167778,4.92,15/11/2001
A813,RIO PARDO,Operante,-29.872222,-52.381944,106.99,29/09/2006
B819,ROLANTE,Operante,-29.655833,-50.618056,69,17/08/2025
B855,ROSARIO DO SUL,Operante,-30.259722,-54.902222,115,30/03/2026
B838,SALTO DO JACUI,Operante,-29.096389,-53.2125,322,12/10/2025
A803,SANTA MARIA,Operante,-29.725,-53.720556,105,25/11/2001
B816,SANTA MARIA DO HERVAL,Pane,-29.479167,-51.013333,650,20/08/2025
A810,SANTA ROSA,Pane,-27.848056,-54.452222,329,14/11/2006
B830,SANTA VITORIA DO PALMAR (CENTRO),Operante,-33.531667,-53.350278,29,17/09/2025
B829,SANTA VITORIA DO PALMAR (RESERVA DO TAIM),Operante,-32.835833,-52.643611,2,16/09/2025
A899,SANTA VITORIA DO PALMAR - BARRA DO CHUI,Operante,-33.742222,-53.372222,7.41,07/03/2008
B821,SANTANA DA BOA VISTA,Operante,-30.858611,-53.155556,138,16/09/2025
A804,SANTANA DO LIVRAMENTO,Operante,-30.750556,-55.401389,196,21/11/2001
A833,SANTIAGO,Operante,-29.191667,-54.885556,390.03,03/02/2009
B844,SANTO ANGELO,Operante,-28.278056,-54.273889,270,24/02/2026
B839,SANTO ANTONIO DA PATRULHA,Operante,-29.816111,-50.533333,47,12/10/2025
A805,SANTO AUGUSTO,Operante,-27.854444,-53.791111,489.67,04/12/2001
A830,SAO BORJA,Operante,-28.65,-56.016389,79,20/07/2007
B820,SAO FRANCISCO DE PAULA,Operante,-29.442222,-50.560278,886,17/08/2025
A832,SAO GABRIEL,Operante,-30.341389,-54.310833,114.89,10/07/2007
B861,SAO JOSE DO OURO,Operante,-27.7725,-51.586667,803,25/02/2026
A829,SAO JOSE DOS AUSENTES,Operante,-28.748611,-50.057778,1228.59,25/10/2006
B831,SAO LOURENCO DO SUL,Operante,-31.340556,-52.010833,3,16/09/2025
A852,SAO LUIZ GONZAGA,Pane,-28.417222,-54.9625,245.5,24/07/2007
A889,SAO VICENTE DO SUL,Pane,-29.702222,-54.694444,134,05/04/2016
B809,SAPUCAIA DO SUL,Operante,-29.813889,-51.156667,23,30/04/2025
A894,SERAFINA CORREA,Pane,-28.704722,-51.870833,485.29,31/03/2016
B811,SERTAO SANTANA,Pane,-30.494167,-51.663333,116,13/08/2025
B840,SOBRADINHO,Operante,-29.398333,-53.013611,379,30/10/2025
